Name,Nodes,Features,Configs,PresentConfigs,Mode,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
/mnt/f/code/busybox-1.31.1/archival/libarchive/lzo1x_d.cfg,265,2,4,2,deep,3.65E-04,3.63E-04,3.67E-04,6.64E-06,5.07E-06,8.97E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/open_transformer.cfg,323,10,1024,640,brute-force,0.119985206,0.115234303,0.1217835,4.57E-03,4.86E-04,7.27E-03
/mnt/f/code/busybox-1.31.1/archival/libarchive/open_transformer.cfg,323,10,1024,640,shallow,1.20E-02,1.19E-02,1.20E-02,1.45E-04,1.15E-04,2.00E-04
/mnt/f/code/busybox-1.31.1/archival/libarchive/open_transformer.cfg,323,10,1024,640,deep,5.89E-04,5.86E-04,5.94E-04,1.40E-05,8.81E-06,2.37E-05
/mnt/f/code/busybox-1.31.1/archival/libarchive/seek_by_jump.cfg,104,2,4,2,brute-force,2.86E-05,2.85E-05,2.88E-05,4.74E-07,3.70E-07,6.41E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/seek_by_jump.cfg,104,2,4,2,shallow,1.12E-05,1.10E-05,1.14E-05,6.27E-07,3.99E-07,9.98E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/seek_by_jump.cfg,104,2,4,2,deep,1.45E-04,1.45E-04,1.46E-04,1.95E-06,1.66E-06,2.54E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/seek_by_read.cfg,106,2,4,2,brute-force,2.92E-05,2.90E-05,2.93E-05,4.69E-07,3.64E-07,6.11E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/seek_by_read.cfg,106,2,4,2,shallow,1.12E-05,1.11E-05,1.16E-05,4.26E-07,1.13E-07,9.97E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/seek_by_read.cfg,106,2,4,2,deep,1.48E-04,1.47E-04,1.49E-04,3.28E-06,2.61E-06,4.57E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/unpack_ar_archive.cfg,107,2,4,2,brute-force,3.03E-05,3.00E-05,3.09E-05,1.32E-06,9.46E-07,2.00E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/unpack_ar_archive.cfg,107,2,4,2,shallow,1.13E-05,1.13E-05,1.14E-05,2.39E-07,1.46E-07,3.67E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/unpack_ar_archive.cfg,107,2,4,2,deep,1.48E-04,1.48E-04,1.49E-04,2.56E-06,2.02E-06,3.21E-06
/mnt/f/code/busybox-1.31.1/console-tools/chvt.cfg,110,2,4,2,brute-force,3.00E-05,2.99E-05,3.02E-05,4.89E-07,3.34E-07,8.17E-07
/mnt/f/code/busybox-1.31.1/console-tools/chvt.cfg,110,2,4,2,shallow,1.15E-05,1.14E-05,1.15E-05,1.32E-07,1.09E-07,1.61E-07
/mnt/f/code/busybox-1.31.1/console-tools/chvt.cfg,110,2,4,2,deep,1.52E-04,1.51E-04,1.54E-04,5.39E-06,3.12E-06,8.47E-06
/mnt/f/code/busybox-1.31.1/console-tools/clear.cfg,105,2,4,2,brute-force,3.10E-05,3.03E-05,3.23E-05,3.05E-06,2.06E-06,5.10E-06
/mnt/f/code/busybox-1.31.1/console-tools/clear.cfg,105,2,4,2,shallow,1.09E-05,1.08E-05,1.09E-05,1.41E-07,1.08E-07,1.82E-07
/mnt/f/code/busybox-1.31.1/console-tools/clear.cfg,105,2,4,2,deep,1.49E-04,1.48E-04,1.54E-04,7.92E-06,3.45E-06,1.65E-05
/mnt/f/code/busybox-1.31.1/console-tools/deallocvt.cfg,116,3,8,4,brute-force,6.95E-05,6.79E-05,7.28E-05,7.09E-06,4.19E-06,1.14E-05
/mnt/f/code/busybox-1.31.1/console-tools/deallocvt.cfg,116,3,8,4,shallow,2.43E-05,2.42E-05,2.46E-05,5.70E-07,3.87E-07,8.21E-07
/mnt/f/code/busybox-1.31.1/console-tools/deallocvt.cfg,116,3,8,4,deep,1.66E-04,1.64E-04,1.71E-04,1.06E-05,6.75E-06,1.64E-05
