Name,Nodes,Features,Configs,EffectiveConfigs,Mode,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
/mnt/f/code/busybox-1.18.5/loginutils/add-remove-shell.cfg,117,1,2,2,/shallow,1.3172300642152141e-5,1.3087597360175258e-5,1.3300340560818829e-5,3.4827634431622966e-7,2.7713416389193565e-7,4.882081717939598e-7
/mnt/f/code/busybox-1.18.5/loginutils/add-remove-shell.cfg,117,1,2,2,/deep,2.892458937748743e-4,2.855381393867791e-4,2.94817227599938e-4,1.606167747133003e-5,1.251722187732544e-5,2.6481840560971754e-5
/mnt/f/code/busybox-1.18.5/loginutils/addgroup.cfg,106,3,8,4,/brute-force,6.368255016384004e-5,6.346197653657989e-5,6.397349314841278e-5,8.702816166671135e-7,7.242279569725702e-7,1.049306103552794e-6
/mnt/f/code/busybox-1.18.5/loginutils/addgroup.cfg,106,3,8,4,/shallow,2.3172287366929553e-5,2.3024570813784625e-5,2.3457360744731358e-5,6.746175381845485e-7,3.121888072630707e-7,1.154427568661538e-6
/mnt/f/code/busybox-1.18.5/loginutils/addgroup.cfg,106,3,8,4,/deep,1.747351668405641e-4,1.7404176143591432e-4,1.7673348188343042e-4,3.6645136710688125e-6,1.8135276592965762e-6,7.363334209321562e-6
/mnt/f/code/busybox-1.18.5/loginutils/adduser.cfg,120,3,8,8,/brute-force,7.943872797091034e-5,7.911029292118426e-5,7.986186803651295e-5,1.2332262325488166e-6,9.431214129704919e-7,1.6194774572767513e-6
/mnt/f/code/busybox-1.18.5/loginutils/adduser.cfg,120,3,8,8,/shallow,5.85166074981935e-5,5.826080306653533e-5,5.900492975138128e-5,1.1442174157685072e-6,6.34258323905201e-7,2.2051183949033576e-6
/mnt/f/code/busybox-1.18.5/loginutils/adduser.cfg,120,3,8,8,/deep,3.0151489343205985e-4,3.004984588693968e-4,3.031690880715564e-4,4.2167775604542645e-6,2.911848145562597e-6,6.0922717405925255e-6
/mnt/f/code/busybox-1.18.5/loginutils/chpasswd.cfg,95,0,0,1,/brute-force,9.074421002634475e-9,9.028602825491776e-9,9.12332342372921e-9,1.54877605054252e-10,1.2804606485742675e-10,1.9917555395465407e-10
/mnt/f/code/busybox-1.18.5/loginutils/chpasswd.cfg,95,0,0,1,/shallow,4.626884500581205e-6,4.597001535735952e-6,4.680451756216444e-6,1.3281619737414095e-7,6.352823007801414e-8,2.1248028057118382e-7
/mnt/f/code/busybox-1.18.5/loginutils/chpasswd.cfg,95,0,0,1,/deep,1.1891908203385161e-4,1.177818830927565e-4,1.2110961065560145e-4,5.337894669931057e-6,2.6761459595172767e-6,8.381407168094949e-6
/mnt/f/code/busybox-1.18.5/loginutils/cryptpw.cfg,133,3,8,6,/brute-force,1.4056480940278644e-4,1.3943432451994154e-4,1.4235457045183337e-4,4.680664382053866e-6,3.1994193472520353e-6,6.420666057538455e-6
/mnt/f/code/busybox-1.18.5/loginutils/cryptpw.cfg,133,3,8,6,/shallow,9.079205650967293e-5,9.026146930359147e-5,9.152694777607143e-5,2.1140945028694526e-6,1.6263936434327056e-6,2.8780043242280287e-6
/mnt/f/code/busybox-1.18.5/loginutils/cryptpw.cfg,133,3,8,6,/deep,5.269720885987938e-3,5.25051014027938e-3,5.30161568675825e-3,7.336136253778697e-5,4.526815400471259e-5,1.1792705849457417e-4
